FID,FID_1,REGION,PROVINCIA,COMUNA,NOM_REGION,NOM_PROVIN,NOM_COMUNA,TOTAL_VIVI,PARTICULAR,COLECTIVAS,TOTAL_PERS,HOMBRES,MUJERES,DENSIDAD,INDICE_MAS,INDICE_DEP,IND_DEP_JU,IND_DEP_VE,Shape__Are,Shape__Len
228,229,8,81,8111,REGIÓN DEL BIOBÍO,CONCEPCIÓN,TOMÉ,23323,23311,12,54946,25919,29027,110.6,89.3,50.5,28.9,21.6,771827563.28125,182212.48311498
229,230,8,81,8112,REGIÓN DEL BIOBÍO,CONCEPCIÓN,HUALPÉN,30722,30704,18,91773,43488,48285,2008.7,90.1,46.2,27.9,18.3,71218738.3203125,57747.7140343799
230,231,8,82,8201,REGIÓN DEL BIOBÍO,ARAUCO,LEBU,9288,9262,26,25522,12441,13081,45.4,95.1,50.0,33.6,16.4,896544006.574219,267490.102065524
231,232,8,82,8202,REGIÓN DEL BIOBÍO,ARAUCO,ARAUCO,13252,13211,41,36257,17875,18382,37.8,97.2,48.0,31.7,16.3,1515518266.0,271736.026939422
232,233,8,82,8203,REGIÓN DEL BIOBÍO,ARAUCO,CAÑETE,12855,12835,20,34537,16641,17896,31.7,93.0,54.5,36.0,18.5,1747980313.84375,286923.811237001
233,234,8,82,8204,REGIÓN DEL BIOBÍO,ARAUCO,CONTULMO,2694,2687,7,6031,3028,3003,9.4,100.8,53.6,31.5,22.1,1033771357.64844,247329.515637421
234,235,8,82,8205,REGIÓN DEL BIOBÍO,ARAUCO,CURANILAHUE,11301,11290,11,32288,15828,16460,32.1,96.2,49.1,32.2,16.9,1593853083.25781,251827.108784883
235,236,8,82,8206,REGIÓN DEL BIOBÍO,ARAUCO,LOS ÁLAMOS,7721,7711,10,21035,10203,10832,34.9,94.2,53.5,37.4,16.1,961624770.773438,235085.58934844
236,237,8,82,8207,REGIÓN DEL BIOBÍO,ARAUCO,TIRÚA,4052,4041,11,10417,5195,5222,16.6,99.5,51.5,37.0,14.6,1019758788.5625,205804.165087817
237,238,8,83,8301,REGIÓN DEL BIOBÍO,BIOBÍO,LOS ÁNGELES,74936,74832,104,202331,97980,104351,115.5,93.9,48.9,32.7,16.2,2779001547.55078,317642.818768888
238,239,8,83,8302,REGIÓN DEL BIOBÍO,BIOBÍO,ANTUCO,2008,1996,12,4073,1975,2098,2.1,94.1,56.4,31.1,25.2,3097610482.46875,390680.89040533
239,240,8,83,8303,REGIÓN DEL BIOBÍO,BIOBÍO,CABRERO,11048,11028,20,28573,14174,14399,43.4,98.4,48.4,30.5,17.9,1034227658.11719,177259.9492862
240,241,8,83,8304,REGIÓN DEL BIOBÍO,BIOBÍO,LAJA,8747,8734,13,22389,10744,11645,65.1,92.3,53.8,33.1,20.7,543470069.441406,97419.4251992216
241,242,8,83,8305,REGIÓN DEL BIOBÍO,BIOBÍO,MULCHÉN,10689,10665,24,29627,14597,15030,15.4,97.1,52.6,32.7,19.9,3082443220.79688,379762.586559371
242,243,8,83,8306,REGIÓN DEL BIOBÍO,BIOBÍO,NACIMIENTO,10130,10107,23,26315,12962,13353,29.0,97.1,51.0,32.9,18.1,1441694451.19531,242252.268094876
243,244,8,83,8307,REGIÓN DEL BIOBÍO,BIOBÍO,NEGRETE,3521,3518,3,9737,4813,4924,62.6,97.7,53.1,33.6,19.5,247799050.296875,95503.4663114286
244,245,8,83,8308,REGIÓN DEL BIOBÍO,BIOBÍO,QUILACO,1936,1931,5,3988,2001,1987,3.5,100.7,61.5,29.0,32.4,1812783548.35547,350061.028402891
245,246,8,83,8309,REGIÓN DEL BIOBÍO,BIOBÍO,QUILLECO,3880,3875,5,9587,4720,4867,8.5,97.0,57.5,30.2,27.3,1783508480.09766,297620.754631448
246,247,8,83,8310,REGIÓN DEL BIOBÍO,BIOBÍO,SAN ROSENDO,1500,1497,3,3412,1661,1751,36.9,94.9,57.3,31.4,26.0,145618822.09375,70279.8411277545
247,248,8,83,8311,REGIÓN DEL BIOBÍO,BIOBÍO,SANTA BÁRBARA,5447,5432,15,13773,6699,7074,11.0,94.7,55.6,33.9,21.7,1996068533.97656,285755.854347383
248,249,8,83,8312,REGIÓN DEL BIOBÍO,BIOBÍO,TUCAPEL,6510,6500,10,14134,6876,7258,15.5,94.7,56.3,31.9,24.4,1438157194.80859,210256.560708121
249,250,8,83,8313,REGIÓN DEL BIOBÍO,BIOBÍO,YUMBEL,10248,10234,14,21198,10465,10733,29.1,97.5,53.6,27.6,26.0,1146883277.67969,215543.065572256
250,251,8,83,8314,REGIÓN DEL BIOBÍO,BIOBÍO,ALTO BIOBÍO,2137,2107,30,5923,3036,2887,2.8,105.2,57.6,45.5,12.1,3414319254.75781,321774.096446971
251,252,9,91,9101,REGIÓN DE LA ARAUCANÍA,CAUTÍN,TEMUCO,104757,104553,204,282415,134289,148126,606.2,90.7,43.8,28.2,15.5,764074904.550781,140875.482005474
252,253,9,91,9102,REGIÓN DE LA ARAUCANÍA,CAUTÍN,CARAHUE,9598,9582,16,24533,12202,12331,18.3,99.0,58.3,35.0,23.2,2189737575.09766,358130.181836844
253,254,9,91,9103,REGIÓN DE LA ARAUCANÍA,CAUTÍN,CUNCO,8036,8024,12,17526,8765,8761,9.3,100.0,58.9,31.2,27.7,3131477594.99609,355657.699788953
254,255,9,91,9104,REGIÓN DE LA ARAUCANÍA,CAUTÍN,CURARREHUE,3281,3269,12,7489,3821,3668,6.4,104.2,56.1,36.4,19.7,1948683222.03125,316553.805992148
255,256,9,91,9105,REGIÓN DE LA ARAUCANÍA,CAUTÍN,FREIRE,9293,9284,9,24606,12413,12193,28.1,101.8,51.8,30.4,21.4,1449369645.89453,248960.523374341
256,257,9,91,9106,REGIÓN DE LA ARAUCANÍA,CAUTÍN,GALVARINO,4275,4271,4,11996,6032,5964,21.1,101.1,59.1,36.0,23.1,928215155.992188,176700.613310927
257,258,9,91,9107,REGIÓN DE LA ARAUCANÍA,CAUTÍN,GORBEA,6119,6111,8,14414,6945,7469,20.8,93.0,53.9,28.1,25.8,1149790467.35938,210702.818259099
258,259,9,91,9108,REGIÓN DE LA ARAUCANÍA,CAUTÍN,LAUTARO,14125,14106,19,38013,18448,19565,41.9,94.3,51.3,33.6,17.7,1485257376.92578,288475.83652221
259,260,9,91,9109,REGIÓN DE LA ARAUCANÍA,CAUTÍN,LONCOCHE,10069,10061,8,23612,11502,12110,24.2,95.0,56.6,33.3,23.3,1628795363.76563,282667.96870945
260,261,9,91,9110,REGIÓN DE LA ARAUCANÍA,CAUTÍN,MELIPEUCO,2742,2724,18,6138,3091,3047,5.5,101.4,59.8,31.8,28.0,1825384390.45703,220281.880124908
261,262,9,91,9111,REGIÓN DE LA ARAUCANÍA,CAUTÍN,NUEVA IMPERIAL,12130,12112,18,32510,15870,16640,44.5,95.4,55.9,33.9,22.1,1200724581.41406,222732.023689315
262,263,9,91,9112,REGIÓN DE LA ARAUCANÍA,CAUTÍN,PADRE LAS CASAS,26158,26141,17,76126,36996,39130,164.1,94.5,48.3,33.9,14.4,763485182.65625,219600.662952422
263,264,9,91,9113,REGIÓN DE LA ARAUCANÍA,CAUTÍN,PERQUENCO,2877,2876,1,6905,3395,3510,20.8,96.7,53.5,33.2,20.4,540513730.785156,143680.771081296
264,265,9,91,9114,REGIÓN DE LA ARAUCANÍA,CAUTÍN,PITRUFQUÉN,10168,10147,21,24837,12065,12772,43.0,94.5,53.2,30.3,22.9,959745386.261719,263912.637265418
265,266,9,91,9115,REGIÓN DE LA ARAUCANÍA,CAUTÍN,PUCÓN,17356,17242,114,28523,14106,14417,22.8,97.8,46.9,30.9,16.0,2084745938.21875,269672.722334023
266,267,9,91,9116,REGIÓN DE LA ARAUCANÍA,CAUTÍN,SAAVEDRA,5686,5672,14,12450,6129,6321,31.8,97.0,61.6,35.1,26.5,643819229.332031,149771.67647843
267,268,9,91,9117,REGIÓN DE LA ARAUCANÍA,CAUTÍN,TEODORO SCHMIDT,6442,6438,4,15045,7526,7519,23.0,100.1,58.9,32.3,26.5,1083850951.97266,210875.559456286
268,269,9,91,9118,REGIÓN DE LA ARAUCANÍA,CAUTÍN,TOLTÉN,4153,4145,8,9722,4883,4839,11.4,100.9,56.4,31.7,24.7,1418067445.0625,200683.682153125
269,270,9,91,9119,REGIÓN DE LA ARAUCANÍA,CAUTÍN,VILCÚN,11112,11101,11,28151,13873,14278,19.9,97.2,51.5,34.1,17.4,2326964864.41797,328634.964466133
270,271,9,91,9120,REGIÓN DE LA ARAUCANÍA,CAUTÍN,VILLARRICA,28288,28215,73,55478,27196,28282,42.9,96.2,50.1,31.9,18.2,2158022033.25781,286428.357838902
271,272,9,91,9121,REGIÓN DE LA ARAUCANÍA,CAUTÍN,CHOLCHOL,4213,4200,13,11611,5773,5838,27.0,98.9,59.0,36.5,22.5,703896181.039063,150665.36286919
272,273,9,92,9201,REGIÓN DE LA ARAUCANÍA,MALLECO,ANGOL,19413,19366,47,53262,25613,27649,44.5,92.6,51.9,32.5,19.4,1916751651.50781,310256.239835047
273,274,9,92,9202,REGIÓN DE LA ARAUCANÍA,MALLECO,COLLIPULLI,9341,9322,19,24598,12064,12534,18.8,96.3,53.9,35.1,18.8,2109220835.67969,338567.124463502
274,275,9,92,9203,REGIÓN DE LA ARAUCANÍA,MALLECO,CURACAUTÍN,8182,8166,16,17413,8376,9037,10.5,92.7,56.8,31.5,25.3,2706477491.28906,269373.614623571
275,276,9,92,9204,REGIÓN DE LA ARAUCANÍA,MALLECO,ERCILLA,2821,2818,3,7733,3817,3916,15.5,97.5,59.0,36.9,22.0,805995433.855469,212005.202889512
276,277,9,92,9205,REGIÓN DE LA ARAUCANÍA,MALLECO,LONQUIMAY,4790,4771,19,10251,5346,4905,2.6,109.0,52.2,33.2,19.0,6426573129.50391,449277.21839008
277,278,9,92,9206,REGIÓN DE LA ARAUCANÍA,MALLECO,LOS SAUCES,3051,3043,8,7265,3607,3658,8.5,98.6,53.6,30.0,23.6,1369293325.76953,207025.063687099
278,279,9,92,9207,REGIÓN DE LA ARAUCANÍA,MALLECO,LUMACO,3854,3847,7,9548,4927,4621,8.6,106.6,58.1,34.8,23.3,1801725345.94141,283707.932779769
279,280,9,92,9208,REGIÓN DE LA ARAUCANÍA,MALLECO,PURÉN,4809,4800,9,11779,5677,6102,25.3,93.0,57.3,34.0,23.3,748162078.949219,170366.353406199
280,281,9,92,9209,REGIÓN DE LA ARAUCANÍA,MALLECO,RENAICO,3928,3924,4,10250,4957,5293,38.6,93.7,50.6,32.1,18.5,424376411.980469,142091.254092631
281,282,9,92,9210,REGIÓN DE LA ARAUCANÍA,MALLECO,TRAIGUÉN,7256,7242,14,18843,9019,9824,21.0,91.8,56.7,32.4,24.3,1457396873.75781,239201.172526804
282,283,9,92,9211,REGIÓN DE LA ARAUCANÍA,MALLECO,VICTORIA,12828,12800,28,34182,16408,17774,27.1,92.3,50.9,29.9,21.0,2047228793.51563,246142.99999135
283,284,14,141,14101,REGIÓN DE LOS RÍOS,VALDIVIA,VALDIVIA,61192,60955,237,166080,80348,85732,171.5,93.7,42.8,26.6,16.2,1638118308.24609,675035.790173725
284,285,14,141,14102,REGIÓN DE LOS RÍOS,VALDIVIA,CORRAL,2574,2563,11,5302,2635,2667,7.3,98.8,52.6,28.8,23.8,1228398138.13672,338809.17887666
285,286,14,141,14103,REGIÓN DE LOS RÍOS,VALDIVIA,LANCO,6450,6433,17,16752,8224,8528,31.5,96.4,54.0,33.6,20.4,894625572.679688,194794.156176834
286,287,14,141,14104,REGIÓN DE LOS RÍOS,VALDIVIA,LOS LAGOS,7913,7890,23,19634,9757,9877,11.0,98.8,51.4,31.9,19.5,3042373338.72656,401592.245930024
287,288,14,141,14105,REGIÓN DE LOS RÍOS,VALDIVIA,MÁFIL,2712,2707,5,7095,3492,3603,12.3,96.9,55.3,33.5,21.8,976636777.726563,232832.908612684
288,289,14,141,14106,REGIÓN DE LOS RÍOS,VALDIVIA,MARIQUINA,8417,8405,12,21278,10607,10671,16.4,99.4,55.4,36.5,18.8,2180760009.82813,470782.728058905
289,290,14,141,14107,REGIÓN DE LOS RÍOS,VALDIVIA,PAILLACO,7626,7603,23,20188,10067,10121,22.4,99.5,51.9,31.6,20.3,1541039596.98438,261851.037887646
290,291,14,141,14108,REGIÓN DE LOS RÍOS,VALDIVIA,PANGUIPULLI,16810,16752,58,34539,17199,17340,10.5,99.2,51.9,32.4,19.5,5579645886.03906,461350.409048711
291,292,14,142,14201,REGIÓN DE LOS RÍOS,RANCO,LA UNIÓN,15125,15088,37,38036,18729,19307,17.8,97.0,52.8,31.2,21.6,3656178671.11719,468285.236231035
292,293,14,142,14202,REGIÓN DE LOS RÍOS,RANCO,FUTRONO,6500,6482,18,14665,7252,7413,7.0,97.8,53.4,34.5,18.9,3602720947.65234,403272.099627584
293,294,14,142,14203,REGIÓN DE LOS RÍOS,RANCO,LAGO RANCO,5345,5335,10,9896,5045,4851,5.7,104.0,54.8,31.7,23.0,3007888220.51953,367260.208281208
294,295,14,142,14204,REGIÓN DE LOS RÍOS,RANCO,RÍO BUENO,13312,13296,16,31372,15492,15880,14.4,97.6,52.5,29.7,22.8,3764992814.84766,432091.906081183
295,296,10,101,10101,REGIÓN DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,93380,93172,208,245902,121019,124883,146.7,96.9,43.4,31.2,12.2,2985827716.92578,509090.665210708
296,297,10,101,10102,REGIÓN DE LOS LAGOS,LLANQUIHUE,CALBUCO,13570,13534,36,33985,17104,16881,57.7,101.3,51.7,32.3,19.4,1055391910.89063,603170.086027398
297,298,10,101,10103,REGIÓN DE LOS LAGOS,LLANQUIHUE,COCHAMÓ,2240,2220,20,4023,2195,1828,1.0,120.1,48.7,24.8,23.9,7069885377.63281,785253.927790664
298,299,10,101,10104,REGIÓN DE LOS LAGOS,LLANQUIHUE,FRESIA,5262,5254,8,12261,6181,6080,9.6,101.7,51.1,28.5,22.6,2250857746.84766,330414.200523037
299,300,10,101,10105,REGIÓN DE LOS LAGOS,LLANQUIHUE,FRUTILLAR,7909,7885,24,18428,9093,9335,22.2,97.4,48.2,30.6,17.6,1459163294.81641,205352.902381386
300,301,10,101,10106,REGIÓN DE LOS LAGOS,LLANQUIHUE,LOS MUERMOS,7264,7257,7,17068,8681,8387,13.9,103.5,53.1,30.4,22.7,2172787106.16797,325806.050215581
301,302,10,101,10107,REGIÓN DE LOS LAGOS,LLANQUIHUE,LLANQUIHUE,6135,6123,12,17591,8627,8964,40.5,96.2,47.1,29.9,17.2,766379273.523438,162528.48580798
302,303,10,101,10108,REGIÓN DE LOS LAGOS,LLANQUIHUE,MAULLÍN,6630,6616,14,14216,7231,6985,17.6,103.5,53.0,27.8,25.2,1446410127.25391,417772.74605666
303,304,10,101,10109,REGIÓN DE LOS LAGOS,LLANQUIHUE,PUERTO VARAS,17643,17541,102,44578,21878,22700,11.1,96.4,46.6,32.3,14.3,7102566223.10156,737441.571703712
304,305,10,102,10201,REGIÓN DE LOS LAGOS,CHILOÉ,CASTRO,18021,17929,92,43807,21471,22336,93.4,96.1,46.5,30.5,16.0,859404741.34375,360384.011916976
305,306,10,102,10202,REGIÓN DE LOS LAGOS,CHILOÉ,ANCUD,16959,16925,34,38991,19029,19962,22.3,95.3,49.9,29.9,20.0,3153589605.67578,699050.988188869
306,307,10,102,10203,REGIÓN DE LOS LAGOS,CHILOÉ,CHONCHI,6706,6689,17,14858,7445,7413,10.8,100.4,45.3,28.7,16.6,2528748510.00781,303343.519583416
307,308,10,102,10204,REGIÓN DE LOS LAGOS,CHILOÉ,CURACO DE VÉLEZ,1693,1687,6,3829,1853,1976,48.1,93.8,56.3,32.3,24.0,145772615.296875,65125.8997797263
308,309,10,102,10205,REGIÓN DE LOS LAGOS,CHILOÉ,DALCAHUE,5659,5615,44,13762,6913,6849,11.2,100.9,49.0,32.0,17.0,2250612476.64844,362976.1077405
309,310,10,102,10206,REGIÓN DE LOS LAGOS,CHILOÉ,PUQUELDÓN,1641,1623,18,3921,1973,1948,40.8,101.3,52.6,27.4,25.2,177490748.601563,97718.6362125952
310,311,10,102,10207,REGIÓN DE LOS LAGOS,CHILOÉ,QUEILÉN,2450,2431,19,5385,2773,2612,16.3,106.2,49.8,30.2,19.6,615108764.0,259289.5059057
311,312,10,102,10208,REGIÓN DE LOS LAGOS,CHILOÉ,QUELLÓN,11003,10946,57,27192,13857,13335,8.1,103.9,43.9,33.5,10.4,6291297325.39844,1166512.8904008
312,313,10,102,10209,REGIÓN DE LOS LAGOS,CHILOÉ,QUEMCHI,3860,3832,28,8352,4308,4044,18.9,106.5,52.9,29.2,23.7,802604000.988281,460274.69603099
313,314,10,102,10210,REGIÓN DE LOS LAGOS,CHILOÉ,QUINCHAO,3566,3530,36,8088,3941,4147,51.2,95.0,53.1,30.1,23.1,291215727.398438,290462.898902091
314,315,10,103,10301,REGIÓN DE LOS LAGOS,OSORNO,OSORNO,60132,60059,73,161460,77155,84305,168.7,91.5,47.1,29.8,17.2,1658706044.03125,326707.921119834
315,316,10,103,10302,REGIÓN DE LOS LAGOS,OSORNO,PUERTO OCTAY,4099,4081,18,8999,4721,4278,5.0,110.4,47.1,28.6,18.5,3145091512.62109,370381.022661859
316,317,10,103,10303,REGIÓN DE LOS LAGOS,OSORNO,PURRANQUE,7873,7857,16,20369,9976,10393,14.0,96.0,53.7,30.8,22.9,2544969192.34375,436778.635615633
317,318,10,103,10304,REGIÓN DE LOS LAGOS,OSORNO,PUYEHUE,4911,4893,18,11667,5958,5709,7.1,104.4,49.2,28.5,20.7,2861396384.05859,410786.573676481
318,319,10,103,10305,REGIÓN DE LOS LAGOS,OSORNO,RÍO NEGRO,5670,5662,8,14085,7051,7034,11.1,100.2,53.3,29.8,23.5,2212325419.60938,385872.460533154
319,320,10,103,10306,REGIÓN DE LOS LAGOS,OSORNO,SAN JUAN DE LA COSTA,5314,5309,5,7512,4011,3501,4.9,114.6,55.8,27.3,28.4,2630425915.47266,328155.238210595
320,321,10,103,10307,REGIÓN DE LOS LAGOS,OSORNO,SAN PABLO,4235,4229,6,10030,4978,5052,15.9,98.5,54.4,29.0,25.4,1084334328.88672,232810.126491379
321,322,10,104,10401,REGIÓN DE LOS LAGOS,PALENA,CHAITÉN,2221,2161,60,5071,3016,2055,0.6,146.8,37.5,23.9,13.6,15552755014.8125,1410514.57640113
322,323,10,104,10402,REGIÓN DE LOS LAGOS,PALENA,FUTALEUFÚ,1433,1409,24,2623,1375,1248,2.1,110.2,43.6,26.2,17.4,2325351602.76953,304755.904117874
323,324,10,104,10403,REGIÓN DE LOS LAGOS,PALENA,HUALAIHUÉ,4439,4418,21,8944,4701,4243,3.1,110.8,49.9,33.4,16.5,5268254767.21094,811101.653976015
324,325,10,104,10404,REGIÓN DE LOS LAGOS,PALENA,PALENA,1002,999,3,1711,886,825,0.6,107.4,49.2,26.2,23.0,5077216797.39453,499055.664781627
325,326,11,111,11101,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,COYHAIQUE,COYHAIQUE,23999,23863,136,57818,28763,29055,7.9,99.0,47.5,34.4,13.1,14834742763.5078,1019026.96530597
326,327,11,111,11102,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,COYHAIQUE,LAGO VERDE,606,592,14,852,494,358,0.2,138.0,46.6,26.2,20.5,10678330699.1328,779258.451849484
327,328,11,112,11201,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,AYSÉN,AYSÉN,9617,9496,121,23959,12719,11240,0.8,113.2,46.9,34.2,12.6,61944075457.8711,13196260.0896124
328,329,11,112,11202,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,AYSÉN,CISNES,2940,2806,134,6517,3922,2595,0.4,151.1,35.4,25.6,9.8,30225633304.9063,9570064.76876007
329,330,11,112,11203,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,AYSÉN,GUAITECAS,690,677,13,1843,1166,677,2.9,172.2,32.4,23.8,8.6,1211369795.89063,1279899.63876854
330,331,11,113,11301,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,CAPITÁN PRAT,COCHRANE,1771,1726,45,3490,1902,1588,0.4,119.8,43.4,29.9,13.5,18804271745.3281,868268.340488862
331,332,11,113,11302,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,CAPITÁN PRAT,O'HIGGINS,363,345,18,625,374,251,0.1,149.0,39.8,30.2,9.6,17619864341.7305,809630.583554304
332,333,11,113,11303,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,CAPITÁN PRAT,TORTEL,320,303,17,523,285,238,0.0,119.7,43.3,33.7,9.6,44929437798.3516,12963181.1576907
333,334,11,114,11401,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,GENERAL CARRERA,CHILE CHICO,2602,2560,42,4865,2577,2288,0.8,112.6,46.1,29.1,17.0,12245257155.7891,702151.108352279
334,335,11,114,11402,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,GENERAL CARRERA,RÍO IBÁÑEZ,1813,1785,28,2666,1445,1221,0.4,118.3,49.0,26.6,22.5,12545169349.793,616637.394722557
335,336,12,121,12101,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,MAGALLANES,PUNTA ARENAS,50501,50297,204,131592,65538,66054,7.4,99.2,44.3,27.2,17.1,50360774877.668,23890618.4220415
336,337,12,121,12102,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,MAGALLANES,LAGUNA BLANCA,285,274,11,274,191,83,0.1,230.1,38.4,23.7,14.6,9341688956.39844,509762.682756263
337,338,12,121,12103,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,MAGALLANES,RÍO VERDE,231,204,27,617,522,95,0.1,549.5,8.1,2.3,5.8,25055775219.25,6348059.24102224
338,339,12,121,12104,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,MAGALLANES,SAN GREGORIO,372,344,28,799,619,180,0.1,343.9,17.5,10.0,7.5,17994593050.8672,952277.964104617
339,340,12,122,12201,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,ANTÁRTICA CHILENA,CABO DE HORNOS,762,716,46,2063,1195,868,0.1,137.7,39.3,34.9,4.4,47830572065.8594,20655966.6272957
340,341,12,122,12202,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,ANTÁRTICA CHILENA,ANTÁRTICA,17,9,8,138,126,12,0.0,1050.0,6.2,6.2,0.0,24525685068712.5,54485476.8458687
341,342,12,123,12301,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,TIERRA DEL FUEGO,PORVENIR,3187,3127,60,6801,3993,2808,0.9,142.2,39.2,25.7,13.5,20462072272.6094,898301.323249648
342,343,12,123,12302,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,TIERRA DEL FUEGO,PRIMAVERA,472,399,73,1158,930,228,0.3,407.9,14.3,9.2,5.1,11662605826.5039,729898.19751402
343,344,12,123,12303,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,TIERRA DEL FUEGO,TIMAUKEL,214,206,8,405,343,62,0.0,553.2,15.1,8.0,7.1,32044560332.6758,2862313.3286004
344,345,12,124,12401,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,ÚLTIMA ESPERANZA,NATALES,9369,9259,110,21477,10992,10485,0.4,104.8,46.7,27.8,18.8,121366355537.969,50997972.1934879
345,346,12,124,12402,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,ÚLTIMA ESPERANZA,TORRES DEL PAINE,226,188,38,1209,800,409,0.2,195.6,11.8,4.4,7.4,16607397275.6328,789209.526970612